"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","demographic","hispanic_subgroup","hsparg","Hsp2","266","177.724505907317","40.6162456080895","0.00369917116315292","0.00246775754542834","false","18356","2145","7.1","0.007","0.001","true","-18090","2152.3501109252647","true","-0.33008288368470806","0.2662672962085","false"
"","demographic","hispanic_subgroup","hspbol","Hsp2","38","35","55.9910414333707","0.00052845302330756","0.000486339765301176","false","3802","607","9.7","0.002","0","true","-3764","608.0082236285954","true","-0.147154697669244","0.048633976530117605","false"
"","demographic","hispanic_subgroup","hspcam","Hsp2","4325","824.602934751023","11.5902515557886","0.0601462980475051","0.0112492439396481","true","179031","5054","1.7","0.073","0.002","true","-174706","5120.8286438817695","true","-1.2853701952494898","1.1425650494116713","false"
"","demographic","hispanic_subgroup","hspchl","Hsp2","139","88.4816365128946","38.6965675418839","0.00193302553262502","0.00122840145569361","false","7524","974","7.9","0.003","0","true","-7385","978.0107361373903","true","-0.10669744673749801","0.12284014556936101","false"
"","demographic","hispanic_subgroup","hspcol","Hsp2","1159","298.613462523042","15.6624625317938","0.0161178172108806","0.00410962843969086","true","102532","3800","2.3","0.042","0.002","true","-101373","3811.7148371828657","true","-2.58821827891194","0.4570453578400719","true"
"","demographic","hispanic_subgroup","hspcr","Hsp2","242","185.625968010944","46.6291461757251","0.00336541135895867","0.00257842896653559","false","7377","1032","8.5","0.003","0","true","-7135","1048.561395436624","true","0.036541135895866994","0.25784289665355903","false"
"","demographic","hispanic_subgroup","hspcub","Hsp2","749","306.757233003559","24.8970041517208","0.0104160872225622","0.00424850630316205","false","39929","2284","3.5","0.016","0.001","true","-39180","2304.5077565501924","true","-0.5583912777437801","0.43646083224050786","false"
"","demographic","hispanic_subgroup","hspdom","Hsp2","15881","1573.39664420641","6.02274494136161","0.220851643767036","0.0202959178129428","true","701188","8731","0.8","0.285","0.004","true","-685307","8871.636714834529","true","-6.414835623296398","2.0686330749307107","true"
"","demographic","hispanic_subgroup","hspec","Hsp2","8605","1330.19133961998","9.39717552790564","0.119666796462146","0.0179602688667908","true","196728","6097","1.9","0.08","0.002","true","-188123","6240.418094967677","true","3.9666796462145992","1.80712826818523","false"
"","demographic","hispanic_subgroup","hspguatm","Hsp2","632","336.481797427439","32.3652223295986","0.0087890081771152","0.0046680127070394","false","37583","2564","4.1","0.015","0.001","true","-36951","2585.984532049641","true","-0.6210991822884799","0.4773923190949066","false"
