"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","social","ancestry","windnhsp","Pop_5","4507","693.98126775872","9.36039740624641","0.0346756324244476","0.00529065499939317","true","584810","7486","0.8","0.069","0.001","true","-580303","7518.098562801634","true","-3.4324367575552404","0.5384331929088692","true"
"","social","ancestry","windsub","Pop_5","725","264.440919677723","22.1730149609243","0.00557795285283437","0.00203124532320931","false","92871","4195","2.7","0.011","0","true","-92146","4203.32653977775","true","-0.542204714716563","0.203124532320931","false"
"","social","ancestry","yugoslv","Pop_5","15","16","64.8429584599797","0.000115405921093125","0.000123076381135027","false","7985","1021","7.8","0.001","0","true","-7970","1021.1253595910739","true","-0.0884594078906875","0.012307638113502701","true"
"","social","ancestry","zmbwean","Pop_5","0","0","","0","0","false","250","184","44.7","0","0","false","-250","184","false","0","0",""
"","social","computers_and_internet_use","hh3","HH3","46453","512.015624761589","0.670044343623049","1","0","true","3154103","5930","0.1","1","0","true","-3107650","5952.063507725703","true","0","0",""
"","social","computers_and_internet_use","hhcomp","HH3","39750","683.851592087055","1.04582453722858","0.855703614405959","0.011303117976159","true","2758928","8259","0.2","0.875","0.002","true","-2719178","8287.263360120758","true","-1.929638559404097","1.147869661516362","false"
"","social","computers_and_internet_use","hhint","HH3","34327","742.79001070289","1.31541958066433","0.738961961552537","0.0137602123068282","true","2505211","10218","0.2","0.794","0.002","true","-2470884","10244.962713450937","true","-5.503803844746301","1.3904799269640187","true"
"","social","disability_status_of_the_civilian_noninstitutionalized_population","c1864damb","CNI1864_1","3838","460.768922563143","7.29814196165276","0.0420340171071221","0.0049584611024537","true","229309","3664","1","0.042","0.001","true","-225471","3692.858513401238","true","0.003401710712210182","0.5058293833353927","false"
"","social","disability_status_of_the_civilian_noninstitutionalized_population","c1864dcog","CNI1864_1","2748","383.343188279119","8.48018096121012","0.0300962686321969","0.00414435340901871","true","170837","3188","1.1","0.031","0.001","true","-168089","3210.9649639944687","true","-0.09037313678030978","0.4263292762507051","false"
"","social","disability_status_of_the_civilian_noninstitutionalized_population","c1864dhrg","CNI1864_1","1065","252.800316455498","14.4298595234099","0.0116639469043994","0.00275642773615964","true","58827","2048","2.1","0.011","0","true","-57762","2063.543554180527","true","0.06639469043994017","0.275642773615964","false"
